BJ|2025-11-01|-1.5|7.8|0.0|흐림
GS|2025-11-01|0.3|5.9|0.0|흐림
HG|2025-11-01|1.0|8.2|0.0|흐림
MR|2025-11-01|2.1|11.4|0.0|흐림
NM|2025-11-01|2.6|7.6|0.0|구름많음
SD|2025-11-01|-1.0|4.8|0.0|흐림
BJ|2025-11-02|1.6|10.9|0.0|맑음
GS|2025-11-02|3.4|9.3|0.0|구름많음
HG|2025-11-02|2.7|8.1|0.0|구름많음
MR|2025-11-02|1.3|6.9|0.0|맑음
NM|2025-11-02|1.6|10.8|0.0|흐림
SD|2025-11-02|-1.3|4.7|0.0|흐림
BJ|2025-11-03|0.3|8.4|0.0|흐림
GS|2025-11-03|3.2|9.7|0.0|맑음
HG|2025-11-03|4.8|9.8|0.0|구름많음
MR|2025-11-03|1.0|8.4|0.0|흐림
NM|2025-11-03|2.4|7.4|0.0|흐림
SD|2025-11-03|2.3|8.9|0.0|구름많음
BJ|2025-11-04|1.3|9.3|13.6|비
GS|2025-11-04|0.9|8.7|2.0|비
HG|2025-11-04|1.0|8.6|13.1|비
MR|2025-11-04|0.2|6.9|9.7|비
NM|2025-11-04|3.7|9.8|8.5|비
SD|2025-11-04|0.9|6.0|8.5|비
BJ|2025-11-05|1.6|10.4|3.8|비
GS|2025-11-05|0.2|8.0|3.1|비
HG|2025-11-05|1.3|10.1|4.0|비
MR|2025-11-05|0.7|9.3|2.9|비
NM|2025-11-05|3.3|12.0|1.0|비
SD|2025-11-05|1.7|7.8|4.1|비
BJ|2025-11-06|-1.7|7.6|0.0|구름많음
GS|2025-11-06|1.7|10.5|0.0|구름많음
HG|2025-11-06|4.1|10.6|0.0|맑음
MR|2025-11-06|0.6|7.5|0.0|흐림
NM|2025-11-06|-0.5|7.1|0.0|구름많음
SD|2025-11-06|-0.0|8.6|0.0|구름많음
BJ|2025-11-07|-1.8|3.2|0.0|맑음
GS|2025-11-07|-1.5|5.4|0.0|맑음
HG|2025-11-07|0.1|6.8|0.0|흐림
MR|2025-11-07|2.8|9.1|0.0|흐림
NM|2025-11-07|2.6|9.8|0.0|흐림
SD|2025-11-07|1.2|10.0|0.0|구름많음
BJ|2025-11-08|-1.4|7.2|0.1|눈
GS|2025-11-08|2.2|10.0|0.0|구름많음
HG|2025-11-08|1.0|6.4|0.0|구름많음
MR|2025-11-08|-0.4|5.3|0.0|맑음
NM|2025-11-08|2.5|10.7|0.0|흐림
SD|2025-11-08|-1.4|5.9|0.0|흐림
BJ|2025-11-09|-2.8|5.1|0.2|눈
GS|2025-11-09|-1.3|6.2|0.0|맑음
HG|2025-11-09|3.2|9.3|0.0|흐림
MR|2025-11-09|1.7|8.7|0.0|맑음
NM|2025-11-09|1.0|8.3|0.0|구름많음
SD|2025-11-09|1.3|7.3|0.0|맑음
BJ|2025-11-10|-1.3|7.8|0.3|눈
GS|2025-11-10|-0.3|5.8|0.0|맑음
HG|2025-11-10|2.5|10.7|0.0|맑음
MR|2025-11-10|-1.6|3.4|0.0|흐림
NM|2025-11-10|-0.5|7.5|0.0|맑음
SD|2025-11-10|-2.7|5.4|0.0|흐림
BJ|2025-11-11|0.2|5.3|0.0|맑음
GS|2025-11-11|-1.2|4.1|0.0|구름많음
HG|2025-11-11|3.6|8.8|0.0|맑음
MR|2025-11-11|2.6|7.8|0.0|맑음
NM|2025-11-11|2.1|10.8|0.0|구름많음
SD|2025-11-11|-2.6|3.3|0.0|구름많음
